variable,class,description,units,calculation,notes
fs_version_GM,character,processing pipeline version used to derive volumetric metrics from scans,NA,"""FS7_T1"" = FreeSurfer v 7 on T1w scans | ""FS6_T1"" = FreeSurfer v 6 on T1w scans | ""FS7_T1T2"" = FreeSurfer v 7 on T1 & T2w scans |  ""synthseg""  |  ""synthseg-young"" | ""FS6_T1T2"" = FreeSurfer v 6 on T1 & T2w scans |""Custom""  = manual segmentation or other study-specific pipeline | ""FS5.3"" = ""FS5.3"" = FreeSurfer v 5.3 | ""synthseg-robust"" |  ""FSInfant""  = Infant FreeSurfer | ""FS6_T1FLAIR""  =  FreeSurfer v 6 on T1w & FLAIR scans |  ""FS7_T1FLAIR""  = FreeSurfer v 7 on T1w & FLAIR scans",NA
study_site,character,"site at which data was collected, concatenated with study to prevent confusion",NA,,NA
GMV,numeric,total cortical gray matter volume ,mm^3,FreeSurfer = Total cortical gray matter volume | synthseg pipelines = left cerebral cortex + right cerebral cortex,NA
sGMV,numeric,subcortical gray matter volume,mm^3,"FreeSurfer = Subcortical gray matter volume (thalamus, caudate nucleus, putamen, pallidum, hippocampus, amygdala, and nucleus accumbens area) | synthseg pipelines = left thalamus + left caudate + left putamen + left pallidum + left hippocampus + left amygdala + left accumbens area + right thalamus + right caudate + right putamen + right pallidum + right hippocampus + right amygdala + right accumbens area",NA
WMV,numeric,Total cortical  white matter volume,mm^3,FreeSurfer = Total cortical or cerebral white matter volume | synthseg pipelines = left cerebral white matter + right cerebral white matter,"""cortical"" vs ""cerebral"" wording depends on FreeSurfer version"
CSF,numeric,combined volume of ventricles,mm^3,FreeSurfer = BrainSegVol minus BrainSegVolNotVent | synthseg pipelines = “Ventricles” or left lateral ventricle + right lateral ventricle + left inferior lateral ventricle + right inferior lateral ventricle + third ventricle + fourth ventricle,NA
CBV,numeric,cerebellar volume,mm^3,"sum of left cerebellum cortex, right cerebellum cortex, left cerebellum white matter, right cerebellum white matter",NA
TBV,numeric,total brain tissue volume,mm^3,"sum of WMV, sGMV, GMV, and CBV",NA
mean.CT,numeric,mean of all regional cortical thickness phenotypes ,mm,mean of all 68 Desikan-Killiany regions' thickness measures ,NA
total.SA,numeric,sum of  regional surface area phenotypes  ,mm^2,sum across all 68 Desikan-Killiany regions' surface area measures ,NA
sexMale,numeric,indicator of male sex,NA,0=Female | 1=Male,
logAge_days,numeric,"post-conception age in days, log-scaled at base 10",log10(days),,"If post-conception age is unavailable, this is estimated at age from birth + 280 days"
